event_id,start_dt,event_desc,league_id,status_id,description,mma_event_id,event_id_1,match_number,title,fighter_1_id,fighter_2_id,fighter_1_weight,fighter_2_weight,winner_id,result,decision_round,decision_seconds,modified_from,modified_by,modified_dt,decision_method,weight_class,sport_id,scheduled_rounds,round_length,fighter1_name,fighter2_name
400255529,16-Jul-99,UFC 21: Return of the Champions,3321,10504,Final,4211,4211,1,,2479915,2335477,185,185,2335477,Won,1,281,WTS-SA03X,Mendozab,22-Apr-11,TKO,Middleweight,MMA,3,5:00,Daiju Takase,Jeremy Horn
400255529,16-Jul-99,UFC 21: Return of the Champions,3321,10504,Final,4211,4211,2,,2473329,2558114,250,230,2473329,Won,1,300,WTS-SA02X,davisan,24-Apr-11,TKO (Corner Stoppage),Heavyweight,MMA,3,5:00,Maurice Smith,Marco Ruas
400255529,16-Jul-99,UFC 21: Return of the Champions,3321,10504,Final,4211,4211,3,,2501620,2501404,185,185,2501404,Won,2,140,WTS-SA02X,davisan,24-Apr-11,TKO (Doctor Stoppage),Middleweight,MMA,3,5:00,Andre Pederneiras,Pat Miletich
400255529,16-Jul-99,UFC 21: Return of the Champions,3321,10504,Final,4211,4211,4,,2500723,2499967,205,205,2499967,Won,1,260,WTS-SA02X,davisan,24-Apr-11,Submission (Rear Naked Choke),Light Heavyweight,MMA,3,5:00,Flavio Luiz Moura,Paul Jones
400255529,16-Jul-99,UFC 21: Return of the Champions,3321,10504,Final,4211,4211,5,,2558102,2499994,230,240,2499994,Won,2,300,WTS-SA02X,davisan,24-Apr-11,TKO (Corner Stoppage),Heavyweight,MMA,3,5:00,Tim Lajcik,Tsuyoshi Kosaka
400255529,16-Jul-99,UFC 21: Return of the Champions,3321,10504,Final,4211,4211,6,,2558117,2488568,185,185,2488568,Won,2,79,WTS-SA02X,davisan,24-Apr-11,KO,Middleweight,MMA,3,5;00,Royce Alger,Eugene Jackson
400255529,16-Jul-99,UFC 21: Return of the Champions,3321,10504,Final,4211,4211,7,,2558118,2499974,265,240,2558118,Won,1,171,WTS-SA02X,davisan,24-Apr-11,KO,Heavyweight,MMA,3,5:00,Andre Roberts,Ron Waterman
400255529,16-Jul-99,UFC 21: Return of the Champions,3321,10504,Final,4211,4211,8,,2487720,2475132,205,205,2487720,Won,2,300,WTS-SA02X,davisan,24-Apr-11,Unanimous Decision,Light Heavyweight,MMA,3,5:00,Travis Fulton,David Dodd
400255511,24-Sep-99,UFC 22: There Can Be Only One Champion,3321,10504,Final,1624,1624,1,UFC Middleweight Title,2431343,2335472,205,205,2431343,Won,4,282,WTS-DG01E,goulder,25-Sep-09,Submission (Punches),Light Heavyweight,MMA,5,5:00,Frank Shamrock,Tito Ortiz
400255511,24-Sep-99,UFC 22: There Can Be Only One Champion,3321,10504,Final,1624,1624,2,,2488862,2335661,170,170,2335661,Won,3,300,WTS-DG02E,goulder,19-Nov-09,Unanimous Decision,Welterweight,MMA,3,5:00,Valeri Ignatov,Matt Hughes
400255511,24-Sep-99,UFC 22: There Can Be Only One Champion,3321,10504,Final,1624,1624,3,,2335464,2499967,205,205,2335464,Won,1,233,WTS-DG01,landrigm,14-Feb-10,TKO,Light Heavyweight,MMA,3,5:00,Chuck Liddell,Paul Jones
400255511,24-Sep-99,UFC 22: There Can Be Only One Champion,3321,10504,Final,1624,1624,4,,2335885,2500448,155,155,,Draw,2,300,WTS-SA03X,landrigm,3-Mar-10,Draw,Lightweight,MMA,2,5:00,Jens Pulver,Alfonso Alcarez
